access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,420,5,0,0.35345226451597084,0.7160873015873016,1.0,0.6509581686675118,0.12467377525911565,0.2243680560733726
rts,420,5,0,0.4513369232266959,0.6973611111111111,1.0,0.5808976201884682,0.18463504232550712,0.2344673374860246
rts,420,5,0,0.5763296453813948,0.6714761904761904,1.0,0.5075213675213676,0.24991452991452992,0.24256410256410257
rts,420,5,0,0.7359377065160035,0.6197539682539682,1.0,0.4127037191809444,0.36606769745089845,0.22122858336815712
rts,420,5,0,0.9397474383147868,0.5860039682539683,1.0,0.3428352620830497,0.44298842750170186,0.21417631041524846
rts,420,5,0,1.2,0.4417857142857143,1.0,0.22872991859376127,0.6315827389957496,0.13968734241048916
rts,420,5,5,0.05,0.7478849206349206,0.12442496564385278,0.7001252460189659,0.005308045565694519,0.011331782668336614
rts,420,5,5,0.0638469417991665,0.7465277777777778,0.1360797342192691,0.7007762043017124,0.006102980387509629,0.01244296972210701
rts,420,5,5,0.0815286395421231,0.749984126984127,0.14572795191432622,0.6957630205171785,0.006009469467038971,0.01450770911739711
rts,420,5,5,0.10410708607622314,0.7501785714285715,0.17139834430955592,0.6934882298991134,0.008804646896973403,0.016997859981656985
rts,420,5,5,0.13293838131178873,0.7487222222222222,0.23475974941434613,0.6868380303499535,0.012016104056983586,0.023846392071848868
rts,420,5,5,0.16975418188978358,0.75175,0.2954904165412978,0.6804339550818425,0.015670600177642432,0.030389544474051518
rts,420,5,5,0.21676570742564272,0.7495515873015873,0.422135986065743,0.6707073312270294,0.023212328325488425,0.04313624347153266
rts,420,5,5,0.2767965501212033,0.7523571428571428,0.5921284428832136,0.6555473023161591,0.03673441825916672,0.06279964886217841
rts,420,5,5,0.35345226451597084,0.7447420634920635,0.7927640868522712,0.6341918110888628,0.05917282331008769,0.0876199682386246
rts,420,5,5,0.4513369232266959,0.7389682539682539,0.9972827838041026,0.6007839152210206,0.08964215721855266,0.11511940190172026
rts,420,5,5,0.5763296453813948,0.7262420634920634,1.1725177992820182,0.5498265895953757,0.1382658959537572,0.14073217726396917
rts,420,5,5,0.7359377065160035,0.6947460317460318,1.3287486577257877,0.4920055883266066,0.2117354858739522,0.15259236262030426
rts,420,5,5,0.9397474383147868,0.6625634920634921,1.4198699136351114,0.4341972137909565,0.28367966378706516,0.15775546735154486
rts,420,5,5,1.2,0.52625,1.4289937035780267,0.31989754650849284,0.47910488002156915,0.11202480452952278
rts,420,5,10,0.05,0.7192460317460317,0.10478896551724139,0.5978544904414799,0.005157474900288819,0.007151698528400495
rts,420,5,10,0.0638469417991665,0.718218253968254,0.11027620157908403,0.5978767123287672,0.0058219178082191785,0.007671232876712329
rts,420,5,10,0.0815286395421231,0.7194484126984128,0.11721943067054237,0.595731454620804,0.006285398535709352,0.008288437629506838
rts,420,5,10,0.10410708607622314,0.7177380952380953,0.1303698789185603,0.5975492880613362,0.008556955093099672,0.008899233296823659
rts,420,5,10,0.13293838131178873,0.7155753968253968,0.1492471925689727,0.594998975199836,0.010179681628749061,0.010248001639680262
rts,420,5,10,0.16975418188978358,0.7155833333333333,0.20324743382854482,0.5935872841874487,0.011647026582625376,0.014113455741298986
rts,420,5,10,0.21676570742564272,0.7167142857142857,0.30969703009766797,0.5929033145372026,0.015128593040847202,0.02090496492917068
rts,420,5,10,0.2767965501212033,0.7221507936507936,0.4196623841918432,0.5828155131776301,0.023355474608956504,0.030283551174916077
