method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
pnd,homo,10,20,456,1000,2.214,2.248,1.0476666666666647,13.284,0.6642000000000038,2.024,0.24569290709290664,0.0,0.0
oracle,homo,10,20,456,1000,2.241,2.248,1.0591666666666646,13.446,0.6723000000000041,2.015,0.2470392329892325,0.0,0.0
dcf_self_excl,homo,10,20,789,1000,1.889,2.218,0.909999999999998,11.334,0.5667000000000079,3.775,0.166369488844489,0.0,0.0
ema_ad_low,homo,10,20,789,1000,2.242,2.218,1.0846666666666644,13.452,0.6726000000000045,2.315,0.19476657786657767,0.028662572275692758,1.4153199966699934
consec_L2,homo,10,20,789,1000,2.128,2.218,1.0274999999999976,12.768,0.6384000000000045,3.019,0.1632897824397822,0.04469283111722291,1.5928324786324743
and,homo,10,20,789,1000,1.263,2.218,0.6073333333333332,7.578,0.3789000000000055,0.382,0.8227022283272216,0.0,0.0
pnd,homo,10,20,789,1000,2.218,2.218,1.0679999999999976,13.308,0.6654000000000051,2.004,0.252332545232545,0.0,0.0
oracle,homo,10,20,789,1000,2.234,2.218,1.0796666666666648,13.404,0.6702000000000042,2.022,0.2392091713841712,0.0,0.0
dcf_self_excl,homo,10,20,1234,1000,1.907,2.219,0.9203333333333309,11.442,0.5721000000000077,3.748,0.16791549284049276,0.0,0.0
ema_ad_low,homo,10,20,1234,1000,2.265,2.219,1.095333333333332,13.59,0.6795000000000047,2.274,0.19211345043845046,0.02910802507070177,1.3145090021090002
consec_L2,homo,10,20,1234,1000,2.096,2.219,1.0106666666666642,12.576,0.6288000000000052,3.069,0.16075689588189584,0.04454209843567286,1.6313478993228938
and,homo,10,20,1234,1000,1.269,2.219,0.6113333333333328,7.614,0.38070000000000537,0.377,0.8247101176601122,0.0,0.0
pnd,homo,10,20,1234,1000,2.213,2.219,1.0649999999999984,13.278,0.6639000000000049,2.007,0.23941951104451042,0.0,0.0
oracle,homo,10,20,1234,1000,2.244,2.219,1.0828333333333318,13.464,0.6732000000000051,1.986,0.24073263958263927,0.0,0.0
dcf_self_excl,homo,10,50,42,1000,5.136,6.206,0.8412904761904758,30.816,0.6163200000000119,12.317,0.15722230753112626,0.0,0.0
ema_ad_low,homo,10,50,42,1000,5.985,6.206,0.980369047619047,35.91,0.7182000000000128,8.452,0.14113136594357822,0.06523592881807459,1.9660406154099601
consec_L2,homo,10,50,42,1000,5.717,6.206,0.9373380952380952,34.302,0.6860400000000121,10.11,0.11496965058634874,0.0768419911995608,2.0425384967825893
and,homo,10,50,42,1000,4.984,6.206,0.8176964285714275,29.904,0.598080000000011,2.599,0.6451161584884492,0.0,0.0
pnd,homo,10,50,42,1000,6.171,6.206,1.0111119047619048,37.026,0.7405200000000117,5.899,0.23507475728888383,0.0,0.0
oracle,homo,10,50,42,1000,6.278,6.206,1.0289726190476176,37.668,0.7533600000000105,5.381,0.2456504590929929,0.0,0.0
dcf_self_excl,homo,10,50,123,1000,5.115,6.258,0.8299535714285697,30.69,0.6138000000000119,12.475,0.15563562315634377,0.0,0.0
ema_ad_low,homo,10,50,123,1000,5.977,6.258,0.9699857142857148,35.862,0.7172400000000129,8.447,0.13915317477244962,0.06524339639349858,1.972717186324304
consec_L2,homo,10,50,123,1000,5.712,6.258,0.9268630952380953,34.272,0.6854400000000116,10.35,0.11595079529271786,0.07661502487776525,2.0906801940294613
and,homo,10,50,123,1000,4.95,6.258,0.8020440476190458,29.7,0.5940000000000111,2.617,0.6504849511781365,0.0,0.0
pnd,homo,10,50,123,1000,6.117,6.258,0.9923238095238093,36.702,0.7340400000000116,6.056,0.23788004461267417,0.0,0.0
oracle,homo,10,50,123,1000,6.253,6.258,1.0154809523809518,37.518,0.7503600000000117,5.349,0.25128671209449727,0.0,0.0
dcf_self_excl,homo,10,50,456,1000,5.143,6.258,0.8338821428571417,30.858,0.617160000000012,12.331,0.15738778536215653,0.0,0.0
