topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,200,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,789,,15.995,0.07053367989832943,0.0,15.0,1
complete,16,200,oracle_topology,789,7,15.9875,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,789,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,789,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,789,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,789,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,1234,16,4.66,1.5951175505272333,0.0,15.0,1
complete,16,20,dcf_topology,1234,32,4.57,1.3472564715005082,0.0,15.0,1
complete,16,20,mfg_full_N,1234,,7.71,2.132111629347769,0.0,15.0,1
complete,16,20,mfg_perfect_local,1234,,7.71,2.132111629347769,0.0,15.0,1
complete,16,20,mfg_carrier_sense,1234,,7.355,1.9669710216472431,0.0,15.0,1
complete,16,20,oracle_topology,1234,20,5.0375,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,1234,16,10.81,1.973296733894829,0.0,15.0,1
complete,16,50,dcf_topology,1234,32,10.9,2.1166010488516727,0.0,15.0,1
complete,16,50,mfg_full_N,1234,,15.915,0.4447190124112079,0.0,15.0,1
complete,16,50,mfg_perfect_local,1234,,15.915,0.4447190124112079,0.0,15.0,1
complete,16,50,mfg_carrier_sense,1234,,13.915,1.427506567410462,0.0,15.0,1
complete,16,50,oracle_topology,1234,32,11.2375,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,1234,16,15.095,1.1027125645425466,0.0,15.0,1
complete,16,100,dcf_topology,1234,32,15.065,1.0912263743146975,0.0,15.0,1
complete,16,100,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,1234,,15.935,0.24652586071242097,0.0,15.0,1
complete,16,100,oracle_topology,1234,17,15.25,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,1234,16,15.945,0.26828156850592627,0.0,15.0,1
complete,16,200,dcf_topology,1234,32,15.925,0.3152380053229623,0.0,15.0,1
complete,16,200,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,1234,4,15.975,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,1234,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,1234,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,1234,4,16.0,0.0,0.0,15.0,1
complete,25,20,dcf_ieee,42,16,3.51,1.4628397041371282,0.0,24.0,1
complete,25,20,dcf_topology,42,50,4.55,1.3955285736952863,0.0,24.0,1
complete,25,20,mfg_full_N,42,,7.365,2.256496177705604,0.0,24.0,1
complete,25,20,mfg_perfect_local,42,,7.365,2.256496177705604,0.0,24.0,1
complete,25,20,mfg_carrier_sense,42,,7.275,2.144615350126917,0.0,24.0,1
complete,25,20,oracle_topology,42,38,5.0125,0.0,0.0,24.0,1
complete,25,50,dcf_ieee,42,16,9.745,2.184027243419825,0.0,24.0,1
complete,25,50,dcf_topology,42,50,11.365,2.175264351751299,0.0,24.0,1
complete,25,50,mfg_full_N,42,,18.72,3.426601815209932,0.0,24.0,1
complete,25,50,mfg_perfect_local,42,,18.72,3.426601815209932,0.0,24.0,1
complete,25,50,mfg_carrier_sense,42,,16.355,2.611316717673289,0.0,24.0,1
complete,25,50,oracle_topology,42,50,11.8125,0.0,0.0,24.0,1
complete,25,100,dcf_ieee,42,16,18.835,2.5333327850876604,0.0,24.0,1
complete,25,100,dcf_topology,42,50,18.855,2.3203394148270635,0.0,24.0,1
complete,25,100,mfg_full_N,42,,24.975,0.25372228912730543,0.0,24.0,1
complete,25,100,mfg_perfect_local,42,,24.975,0.25372228912730543,0.0,24.0,1
complete,25,100,mfg_carrier_sense,42,,23.425,1.3979896280015813,0.0,24.0,1
complete,25,100,oracle_topology,42,25,20.1625,0.0,0.0,24.0,1
complete,25,200,dcf_ieee,42,16,24.29,1.0372559954032563,0.0,24.0,1
complete,25,200,dcf_topology,42,50,24.22,1.063766891757776,0.0,24.0,1
complete,25,200,mfg_full_N,42,,25.0,0.0,0.0,24.0,1
complete,25,200,mfg_perfect_local,42,,25.0,0.0,0.0,24.0,1
complete,25,200,mfg_carrier_sense,42,,24.96,0.19595917942265423,0.0,24.0,1
complete,25,200,oracle_topology,42,25,24.6625,0.0,0.0,24.0,1
complete,25,500,dcf_ieee,42,16,24.99,0.09949874371066199,0.0,24.0,1
complete,25,500,dcf_topology,42,50,24.995,0.07053367989832943,0.0,24.0,1
complete,25,500,mfg_full_N,42,,25.0,0.0,0.0,24.0,1
complete,25,500,mfg_perfect_local,42,,25.0,0.0,0.0,24.0,1
complete,25,500,mfg_carrier_sense,42,,25.0,0.0,0.0,24.0,1
complete,25,500,oracle_topology,42,16,25.0,0.0,0.0,24.0,1
complete,25,20,dcf_ieee,123,16,3.71,1.4477223490711193,0.0,24.0,1
complete,25,20,dcf_topology,123,50,4.755,1.5116133764954582,0.0,24.0,1
complete,25,20,mfg_full_N,123,,7.35,2.1465087933665683,0.0,24.0,1
complete,25,20,mfg_perfect_local,123,,7.35,2.1465087933665683,0.0,24.0,1
complete,25,20,mfg_carrier_sense,123,,7.095,1.9354521435571586,0.0,24.0,1
complete,25,20,oracle_topology,123,25,4.8375,0.0,0.0,24.0,1
complete,25,50,dcf_ieee,123,16,9.99,2.0999761903412146,0.0,24.0,1
complete,25,50,dcf_topology,123,50,11.53,2.1906848244327617,0.0,24.0,1
complete,25,50,mfg_full_N,123,,19.085,3.5661989568727095,0.0,24.0,1
complete,25,50,mfg_perfect_local,123,,19.085,3.5661989568727095,0.0,24.0,1
complete,25,50,mfg_carrier_sense,123,,16.295,2.6959182109255466,0.0,24.0,1
complete,25,50,oracle_topology,123,38,11.9375,0.0,0.0,24.0,1
complete,25,100,dcf_ieee,123,16,19.25,2.262189205172724,0.0,24.0,1
complete,25,100,dcf_topology,123,50,18.79,2.5487055538056964,0.0,24.0,1
complete,25,100,mfg_full_N,123,,25.0,0.0,0.0,24.0,1
complete,25,100,mfg_perfect_local,123,,25.0,0.0,0.0,24.0,1
