method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
warm_nv,0.0,10,0,50,42,14,0.8260869565217391,0.42699999999999994,0.0,0.345762987012987,0.16906475327407405
warm_nv,0.0,10,0,50,42,15,0.8243243243243243,0.446,0.0,0.34954906204906205,0.16151650133333334
warm_nv,0.0,10,0,50,42,16,0.6753246753246753,0.36,0.0,0.408780525030525,0.15894835262814813
warm_nv,0.0,10,0,50,42,17,0.6951219512195121,0.42000000000000004,0.0,0.38199494949494944,0.155515522176
warm_nv,0.0,10,0,50,42,18,0.7323943661971831,0.38400000000000006,0.0,0.37576479076479075,0.14665832527786668
warm_nv,0.0,10,0,50,42,19,0.7945205479452054,0.406,0.0,0.3661163836163836,0.1601050494577778
warm_nv,0.0,10,0,50,42,20,0.6623376623376623,0.3520000000000001,0.0,0.40878066378066374,0.1642953672888889
warm_nv,0.0,10,0,50,42,21,0.7384615384615385,0.34500000000000003,0.0,0.39671536796536794,0.15707006848
warm_nv,0.0,10,0,50,42,22,0.7466666666666667,0.377,0.0,0.3932738095238096,0.15922356800000004
warm_nv,0.0,10,0,50,42,23,0.75,0.396,0.0,0.3650029137529137,0.16675425159111112
warm_nv,0.0,10,0,50,42,24,0.8082191780821918,0.39300000000000007,0.0,0.36563422688422687,0.15627961155555556
warm_nv,0.0,10,0,50,42,25,0.6470588235294118,0.298,0.0,0.4458802308802309,0.16451048308839505
warm_nv,0.0,10,0,50,42,26,0.7391304347826086,0.36900000000000005,0.0,0.3697943722943723,0.1615535266133334
warm_nv,0.0,10,0,50,42,27,0.7333333333333333,0.38600000000000007,0.0,0.4010714285714285,0.17841589056
warm_nv,0.0,10,0,50,42,28,0.6781609195402298,0.3490000000000001,0.0,0.3884415584415584,0.17733839744
warm_nv,0.0,10,0,50,42,29,0.7317073170731707,0.458,0.0,0.3315494227994228,0.16364653546666671
warm_nv,0.0,10,0,50,42,30,0.775,0.41400000000000003,0.0,0.35636280386280383,0.16957942528
warm_nv,0.0,10,0,50,42,31,0.5789473684210527,0.292,0.0,0.45825396825396825,0.17110320234666668
warm_nv,0.0,10,0,50,42,32,0.7058823529411765,0.39699999999999996,0.0,0.38118867243867244,0.15349366844444448
warm_nv,0.0,10,0,50,42,33,0.7323943661971831,0.3389999999999999,0.0,0.41750596625596625,0.1581313081777778
warm_nv,0.0,10,0,50,42,34,0.7162162162162162,0.37699999999999995,0.0,0.39002886002886006,0.14664519662222225
warm_nv,0.0,10,0,50,42,35,0.7352941176470589,0.35600000000000004,0.0,0.3849191086691086,0.1644012234666667
warm_nv,0.0,10,0,50,42,36,0.863013698630137,0.39200000000000007,0.0,0.3619264069264069,0.1608499549876543
warm_nv,0.0,10,0,50,42,37,0.7012987012987013,0.3450000000000001,0.0,0.3941071428571428,0.17257861973333333
warm_nv,0.0,10,0,50,42,38,0.8450704225352113,0.3999999999999999,0.0,0.3802831890331891,0.1634142430222222
