method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
oracle,0.0,10,10,50,42,7,0.8,0.388,0.144,0.2366233766233766,nan
oracle,0.0,10,10,50,42,8,0.8947368421052632,0.44800000000000006,0.12,0.17775557775557776,nan
oracle,0.0,10,10,50,42,9,0.75,0.384,0.16799999999999998,0.18906926406926408,nan
oracle,0.0,10,10,50,42,10,0.9166666666666666,0.292,0.096,0.241969696969697,nan
oracle,0.0,10,10,50,42,11,1.8888888888888888,0.45999999999999996,0.12,0.14059587471352178,nan
oracle,0.0,10,10,50,42,12,1.2727272727272727,0.372,0.12,0.19190476190476188,nan
oracle,0.0,10,10,50,42,13,0.5882352941176471,0.304,0.192,0.2043956043956044,nan
oracle,0.0,10,10,50,42,14,1.1428571428571428,0.45600000000000007,0.12,0.14087301587301587,nan
oracle,0.0,10,10,50,42,15,0.7857142857142857,0.34400000000000003,0.096,0.23761904761904756,nan
oracle,0.0,10,10,50,42,16,0.6,0.264,0.192,0.21574397824397823,nan
oracle,0.0,10,10,50,42,17,1.3333333333333333,0.5399999999999999,0.072,0.21357142857142858,nan
oracle,0.0,10,10,50,42,18,1.0,0.356,0.072,0.2807359307359307,nan
oracle,0.0,10,10,50,42,19,1.0833333333333333,0.316,0.144,0.2412121212121212,nan
oracle,0.0,10,10,50,42,20,1.1538461538461537,0.36400000000000005,0.144,0.2148018648018648,nan
oracle,0.0,10,10,50,42,21,1.0769230769230769,0.304,0.144,0.2235897435897436,nan
oracle,0.0,10,10,50,42,22,0.8333333333333334,0.524,0.072,0.23636363636363633,nan
oracle,0.0,10,10,50,42,23,0.8333333333333334,0.236,0.21600000000000003,0.2116783216783217,nan
oracle,0.0,10,10,50,42,24,1.0666666666666667,0.41600000000000004,0.144,0.1600776674306086,nan
oracle,0.0,10,10,50,42,25,1.0769230769230769,0.484,0.16799999999999998,0.16743589743589743,nan
oracle,0.0,10,10,50,42,26,1.1538461538461537,0.44800000000000006,0.072,0.20923520923520922,nan
