method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
dcf_self_excl,1,20,50,789,0.67072,0.8777940476190477,0.15373681551976534,4.572
and,1,20,50,789,0.4113600000000001,0.5954309523809524,0.8478463533809802,3.106
oracle,0,20,50,789,0.48224,1.2955400793650793,0.2850856782106782,3.432
pnd,0,20,50,789,0.45320000000000005,1.1958376984126986,0.26316993978243974,3.173
dcf_self_excl,0,20,50,789,0.4312800000000001,1.1492373015873019,0.16562804584476412,3.011
and,0,20,50,789,8e-05,0.0002,0.9996904761904761,0.001
oracle,1,20,50,1234,0.7880000000000003,1.039725,0.2525951360623351,5.404
pnd,1,20,50,1234,0.7716000000000002,1.0176984126984125,0.2374426944899884,5.305
dcf_self_excl,1,20,50,1234,0.6665600000000002,0.8676242063492063,0.15785847961340893,4.516
and,1,20,50,1234,0.4135200000000001,0.5883551587301588,0.8482901969417962,3.065
oracle,0,20,50,1234,0.4861600000000001,1.2371809523809525,0.287383457963605,3.327
pnd,0,20,50,1234,0.45976,1.1944130952380951,0.2638108481387893,3.243
dcf_self_excl,0,20,50,1234,0.42952,1.1003166666666668,0.16856471291417785,2.949
and,0,20,50,1234,0.00016,0.0006666666666666666,0.9996666666666667,0.002
oracle,1,20,100,42,0.8100000000000002,1.0194673104673104,0.25615908333923515,10.702
pnd,1,20,100,42,0.79728,0.9952168803418804,0.25401791519445843,10.46
dcf_self_excl,1,20,100,42,0.6736799999999998,0.8333308358308358,0.16123255474617199,8.742
and,1,20,100,42,0.57172,0.7284322705072704,0.7583016590415148,7.641
oracle,0,20,100,42,0.48444000000000004,1.1416208402708403,0.2762946477040904,6.445
pnd,0,20,100,42,0.46692000000000006,1.0929157231657232,0.26658963749064335,6.219
dcf_self_excl,0,20,100,42,0.41912,0.9689579059829059,0.18219713135403082,5.51
and,0,20,100,42,0.015200000000000002,0.04901382506382506,0.962132672882673,0.276
oracle,1,20,100,123,0.81196,1.0186658216783218,0.2562978051778574,10.645
pnd,1,20,100,123,0.8004000000000001,0.9947817932067932,0.2534978320775473,10.412
dcf_self_excl,1,20,100,123,0.67664,0.8349666625041625,0.15875496547814297,8.728
and,1,20,100,123,0.5788799999999998,0.73837533993784,0.7542521593556409,7.712
oracle,0,20,100,123,0.49000000000000005,1.1378374764124766,0.2733503528152571,6.508
pnd,0,20,100,123,0.46332000000000007,1.0811783827283827,0.266188159571729,6.175
dcf_self_excl,0,20,100,123,0.42460000000000003,0.9807121350871351,0.17939230786781063,5.585
and,0,20,100,123,0.014600000000000002,0.04993623043623043,0.9626464646464646,0.283
oracle,1,20,100,456,0.8122,1.0136233240615593,0.25693840715917315,10.703
pnd,1,20,100,456,0.79468,0.986185221314633,0.2586763156212074,10.413
dcf_self_excl,1,20,100,456,0.67704,0.8305547025686733,0.16073822780741404,8.76
and,1,20,100,456,0.57404,0.7348693089590149,0.7538001850098508,7.753
oracle,0,20,100,456,0.4928,1.1781106116106117,0.2748390963269462,6.584
pnd,0,20,100,456,0.46212000000000003,1.085426037851038,0.26936401553894723,6.125
dcf_self_excl,0,20,100,456,0.41956000000000004,0.9769582473082473,0.1829342822656755,5.529
and,0,20,100,456,0.01448,0.052595021645021646,0.9621064491064492,0.27
oracle,1,20,100,789,0.81084,1.0138535729793083,0.25803668801942614,10.705
pnd,1,20,100,789,0.797,0.9829417524468995,0.2576058498104884,10.381
dcf_self_excl,1,20,100,789,0.67248,0.8311224562202504,0.15904806313855624,8.762
and,1,20,100,789,0.5802,0.7318494092508798,0.7545857697430763,7.727
oracle,0,20,100,789,0.4890400000000001,1.1437841436341436,0.2736712157525619,6.512
pnd,0,20,100,789,0.46624000000000004,1.0829984903984902,0.269369289425352,6.158
dcf_self_excl,0,20,100,789,0.42068000000000005,0.9706644966144966,0.18103555593530177,5.537
and,0,20,100,789,0.01448,0.051970718170718175,0.9632045454545455,0.266
oracle,1,20,100,1234,0.8108000000000001,1.0114415504430212,0.2583166131088243,10.57
pnd,1,20,100,1234,0.7989200000000001,0.9956067172206877,0.2561548466416128,10.413
dcf_self_excl,1,20,100,1234,0.67328,0.8287639225970108,0.1648058346819696,8.648
and,1,20,100,1234,0.5794400000000001,0.7353259516627163,0.7577912179135347,7.686
oracle,0,20,100,1234,0.49412,1.168390243090243,0.27460753710978725,6.477
pnd,0,20,100,1234,0.4646,1.1086203268953267,0.2672932407966716,6.157
dcf_self_excl,0,20,100,1234,0.41780000000000006,0.989974716949717,0.1839019610429741,5.457
and,0,20,100,1234,0.01304,0.050186854811854816,0.964659090909091,0.244
oracle,1,30,50,42,0.7833600000000002,1.051602380952381,0.24944658219825672,5.418
pnd,1,30,50,42,0.7750400000000002,1.021897619047619,0.24415298405492922,5.274
dcf_self_excl,1,30,50,42,0.66744,0.8847218253968253,0.14776871717138135,4.557
and,1,30,50,42,0.25992000000000004,0.4278376984126984,0.9162305862966975,2.183
oracle,0,30,50,42,0.47808000000000006,1.2325718253968252,0.2868760991029954,3.324
pnd,0,30,50,42,0.46304000000000006,1.1865218253968255,0.2593429372914667,3.226
dcf_self_excl,0,30,50,42,0.4415200000000001,1.1155626984126985,0.16211674775602794,3.015
and,0,30,50,42,0.0,0.0,1.0,0.0
oracle,1,30,50,123,0.7864800000000002,1.0545714285714285,0.24965730439446115,5.409
pnd,1,30,50,123,0.7720800000000001,1.0210039682539682,0.24570408973441998,5.237
dcf_self_excl,1,30,50,123,0.6660000000000001,0.8826281746031746,0.15017680506438927,4.513
and,1,30,50,123,0.26624000000000003,0.43270753968253967,0.9165473243708273,2.212
oracle,0,30,50,123,0.48584000000000005,1.2664845238095237,0.280667285694182,3.383
