method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,5,200,42,1000,5.0,5.0,1.0,2.711,0.20966961171428342,0.0,0.0
mfg_no_excl,homo,5,200,42,1000,5.0,5.0,1.0,2.808,0.2039332989044732,0.0,0.0
self_excl_only,homo,5,200,42,1000,5.0,5.0,1.0,2.644,0.21473509906845892,0.0,0.0
ema_fixed_low,homo,5,200,42,1000,5.0,5.0,1.0,11.882,0.050732059568225726,0.34578196885548024,0.9977982588614983
ema_fixed_high,homo,5,200,42,1000,5.0,5.0,1.0,9.203,0.07321759085283838,0.3096623039104196,1.3378806329494273
ema_adaptive,homo,5,200,42,1000,5.0,5.0,1.0,12.565,0.051007457450639115,0.3424060903014693,1.0739256178898604
consec_L2,homo,5,200,42,1000,5.0,5.0,1.0,9.09,0.07357276623290934,0.3012207300867566,0.7686021696950378
consec_L4,homo,5,200,42,1000,5.0,5.0,1.0,11.869,0.05313236410101284,0.3379829440570346,0.3612225117585953
oracle,homo,5,200,123,1000,5.0,5.0,1.0,2.572,0.21300715035981083,0.0,0.0
mfg_no_excl,homo,5,200,123,1000,5.0,5.0,1.0,2.724,0.20451090108721715,0.0,0.0
self_excl_only,homo,5,200,123,1000,5.0,5.0,1.0,2.746,0.2064432635690767,0.0,0.0
ema_fixed_low,homo,5,200,123,1000,5.0,5.0,1.0,12.695,0.05473582196997255,0.3402833689227221,1.1030244156124949
ema_fixed_high,homo,5,200,123,1000,5.0,5.0,1.0,9.449,0.07425840752378086,0.3105850648265386,1.3195000309744453
ema_adaptive,homo,5,200,123,1000,5.0,5.0,1.0,12.648,0.051633996988332674,0.34761482605097793,1.0544706088576659
consec_L2,homo,5,200,123,1000,5.0,5.0,1.0,9.112,0.0712444166014841,0.3049351675133019,0.7700506441431245
consec_L4,homo,5,200,123,1000,5.0,5.0,1.0,11.639,0.05433952286149399,0.3357756345637267,0.3654530131717266
oracle,homo,5,200,456,1000,5.0,5.0,1.0,2.781,0.2115208105324782,0.0,0.0
mfg_no_excl,homo,5,200,456,1000,5.0,5.0,1.0,2.595,0.20949056323531753,0.0,0.0
self_excl_only,homo,5,200,456,1000,5.0,5.0,1.0,2.669,0.21187772432940952,0.0,0.0
ema_fixed_low,homo,5,200,456,1000,5.0,5.0,1.0,12.452,0.053357454150676754,0.3433917410369664,1.0682992496412895
ema_fixed_high,homo,5,200,456,1000,5.0,5.0,1.0,9.561,0.07407252893416276,0.3072711318821247,1.329667739907558
ema_adaptive,homo,5,200,456,1000,5.0,5.0,1.0,12.128,0.05036830015742927,0.34646640829415515,1.0283575224786714
consec_L2,homo,5,200,456,1000,5.0,5.0,1.0,9.111,0.07343020410049612,0.30215458229605185,0.7774266086456598
consec_L4,homo,5,200,456,1000,5.0,5.0,1.0,11.809,0.054096824716524744,0.3391741565583869,0.3664230941618044
oracle,homo,5,200,789,1000,5.0,5.0,1.0,2.76,0.20917305999453123,0.0,0.0
mfg_no_excl,homo,5,200,789,1000,5.0,5.0,1.0,2.715,0.21143851985162088,0.0,0.0
self_excl_only,homo,5,200,789,1000,5.0,5.0,1.0,2.711,0.20979224887128886,0.0,0.0
ema_fixed_low,homo,5,200,789,1000,5.0,5.0,1.0,12.096,0.0528099464772295,0.34376732124977705,1.0492502515419453
ema_fixed_high,homo,5,200,789,1000,5.0,5.0,1.0,9.362,0.0727370043928889,0.31049483366181607,1.3049582309392258
ema_adaptive,homo,5,200,789,1000,5.0,5.0,1.0,12.799,0.05186690115769176,0.34979919268174287,1.0447724136978513
consec_L2,homo,5,200,789,1000,5.0,5.0,1.0,9.019,0.07271447206985138,0.30303978367117346,0.7639559897971534
consec_L4,homo,5,200,789,1000,5.0,5.0,1.0,12.222,0.05405998190976512,0.33677649968547646,0.37061720112958174
oracle,homo,5,200,1234,1000,5.0,5.0,1.0,2.696,0.201075659976145,0.0,0.0
