access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,420,20,5,1.0,2.5,1.4248929287747112,1.3846383747600994,1.5306219574476574,0.7406663359788359,0.7368562638686272,-0.3934512603189089
rts,420,20,10,0.25,1.05,1.4403129814555664,1.3539971077120154,1.5135960555354775,0.7191881613756613,0.5980883917575426,-0.3956855548320639
rts,420,20,10,0.25,1.2,1.4341589408086448,1.343874084319599,1.5105569743367715,0.717771164021164,0.5991310521182209,-0.3972108722006974
rts,420,20,10,0.25,2.5,1.4395616488626932,1.3565183076594762,1.5050348709784989,0.7183449074074074,0.595544264836438,-0.3979588786097828
rts,420,20,10,0.5,1.05,1.4795664765159087,1.4136746468150558,1.5615935142040107,0.7185102513227513,0.6319435706133636,-0.4358952326008893
rts,420,20,10,0.5,1.2,1.4608557911083206,1.4074576754391959,1.5576921221367555,0.7163921957671957,0.6440503037724911,-0.43031801833922523
rts,420,20,10,0.5,2.5,1.4703516448257892,1.3801633869327377,1.5773142758472116,0.7144080687830687,0.6310672311383568,-0.44225873634338453
rts,420,20,10,1.0,1.05,1.6098413573413992,1.508403301187706,1.7138003942968356,0.714280753968254,0.694572171591989,-0.4693096920385341
rts,420,20,10,1.0,1.2,1.5722177416930059,1.493797946847917,1.6514844446047807,0.7128488756613756,0.7025554684149906,-0.4631166687231108
rts,420,20,10,1.0,2.5,1.5879949176621526,1.5238790619886908,1.6776076356665026,0.7160582010582011,0.711277405539596,-0.45006538753446174
rts,420,20,20,0.25,1.05,1.7120570359238934,1.6118113819877924,2.007902373075997,0.6463359788359788,0.6956863776052589,-0.4693519978500603
rts,420,20,20,0.25,1.2,1.7268830538706421,1.5728701541624168,1.8361004581619553,0.6529398148148148,0.6817632256139771,-0.4629565247809534
rts,420,20,20,0.25,2.5,1.6963612855938335,1.618905576616375,1.859232061057182,0.6460714285714285,0.7052683179655475,-0.4673263473691275
rts,420,20,20,0.5,1.05,1.8025148813583702,1.6666706083842913,1.8914797457103127,0.6501537698412698,0.7545970821713818,-0.47018758432662205
rts,420,20,20,0.5,1.2,1.7965060202279122,1.684960054185489,1.8904595767089931,0.6494973544973545,0.7477492561201987,-0.47380614952367944
rts,420,20,20,0.5,2.5,1.7745505807346533,1.6812996244191967,1.963217047130709,0.6495949074074074,0.7567617864173828,-0.47024505771049274
rts,420,20,20,1.0,1.05,2.0004584349971872,1.7987805623851392,2.256275479325957,0.6463062169312169,0.8202855510891739,-0.4757265735127785
rts,420,20,20,1.0,1.2,1.9532546092783378,1.8597218425155022,2.1699599795343603,0.6462417328042328,0.8325441861259734,-0.4701691656103738
rts,420,20,20,1.0,2.5,1.9658523740145204,1.841314107981584,2.2167342721081282,0.6476008597883598,0.8445285086662889,-0.4630338834836871
rts,420,50,0,0.25,1.05,1.0814817312445832,1.0557492181266837,1.1149767888919413,0.7499652777777778,1.0,-0.28772836981978384
rts,420,50,0,0.25,1.2,1.0905130777982512,1.050808419916208,1.1189996096988375,0.751698082010582,1.0,-0.28542052233771203
rts,420,50,0,0.25,2.5,1.0865396589358292,1.0659887594665738,1.1103298942692124,0.7516170634920635,1.0,-0.28552830881061403
rts,420,50,0,0.5,1.05,1.0928303654271185,1.0722897376166045,1.127273271869876,0.7532060185185184,1.0,-0.2834164916329252
rts,420,50,0,0.5,1.2,1.105207965207543,1.0765501533132988,1.1405474812014003,0.7522073412698412,1.0,-0.28474327326228355
rts,420,50,0,0.5,2.5,1.1055173723682965,1.0769497158680301,1.1343916095472737,0.7509804894179893,1.0,-0.2863756070255287
rts,420,50,0,1.0,1.05,1.1315592054246721,1.1094122621955955,1.1708355714046381,0.7492013888888889,1.0,-0.28874745458465223
rts,420,50,0,1.0,1.2,1.1336859856215786,1.1037229716453782,1.1673355925209947,0.7502910052910053,1.0,-0.2872941406523786
rts,420,50,0,1.0,2.5,1.133709156800685,1.1033343186699849,1.1804230169892993,0.7516914682539682,1.0,-0.2854293207979816
rts,420,50,5,0.25,1.05,1.1520729475155307,1.1026545274910686,1.207491153224304,0.7531216931216931,0.5620985485775399,-0.3664949449556987
rts,420,50,5,0.25,1.2,1.1632846555587542,1.0895711042571112,1.1978155632459706,0.7552728174603175,0.5549673535478341,-0.36736114718263213
rts,420,50,5,0.25,2.5,1.1635053867243252,1.112649979087164,1.2012190938958147,0.7522982804232804,0.565303126285972,-0.3659594805523736
rts,420,50,5,0.5,1.05,1.1952968265844728,1.1360520162475827,1.2521522401768754,0.7501207010582011,0.5931391150319109,-0.42393353884634344
rts,420,50,5,0.5,1.2,1.1861069996558853,1.113060682172858,1.2586012094526227,0.7537549603174604,0.5957599612351586,-0.4168071888093746
rts,420,50,5,0.5,2.5,1.2112159802830698,1.113822982402872,1.2699846518076328,0.7504315476190476,0.5916820627405858,-0.4248069324215407
rts,420,50,5,1.0,1.05,1.250674884466147,1.1939399152020156,1.2884906879133378,0.7497271825396825,0.6530512958247331,-0.46960676324893375
rts,420,50,5,1.0,1.2,1.2517091869998078,1.1914312049764193,1.33304155179483,0.7464070767195766,0.6496041501489799,-0.4785832934905318
rts,420,50,5,1.0,2.5,1.2613645894491448,1.2260547241624467,1.3155142866548928,0.7478406084656083,0.6528865752394223,-0.4723413248646085
