init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
rand_u01,20,200,1234,0.5052079979360166,0.36758500000000005,0.7877613998718334,19.88
rand_u2N,20,200,1234,0.9954076410388716,0.7430950000000001,0.2526036758146652,19.88
high,20,200,1234,0.9698620485036119,0.7222900000000001,0.4380542118752167,19.88
low,20,200,1234,0.9848281002751978,0.7344149999999999,0.15984358037410765,19.88
oracle,30,20,42,1.10475,0.7580999999999999,nan,2.395
optimal,30,20,42,0.9634166666666667,0.71025,0.17792497502497504,2.395
rand_u01,30,20,42,0.38844999999999996,0.17930000000000001,0.9189650840989078,2.395
rand_u2N,30,20,42,0.9789166666666668,0.7096999999999999,0.20681325202575204,2.395
high,30,20,42,0.49484999999999996,0.27129999999999993,0.8720403791469968,2.395
low,30,20,42,0.9926666666666666,0.705,0.27353033355533357,2.395
oracle,30,20,123,1.1033333333333333,0.7592000000000001,nan,2.37
optimal,30,20,123,0.9676666666666667,0.7065,0.17702981046731045,2.37
rand_u01,30,20,123,0.3998333333333333,0.18155000000000002,0.9198306473755004,2.37
rand_u2N,30,20,123,0.9824166666666666,0.708,0.20752334993437932,2.37
high,30,20,123,0.5083333333333333,0.26685000000000003,0.8674534090092915,2.37
low,30,20,123,0.9791666666666666,0.7061499999999999,0.27265236291486294,2.37
oracle,30,20,456,1.0978333333333332,0.75955,nan,2.44
optimal,30,20,456,0.9739166666666665,0.7182000000000001,0.17543755133755132,2.44
rand_u01,30,20,456,0.391,0.18364999999999998,0.9181610000293824,2.44
rand_u2N,30,20,456,0.97675,0.70765,0.2102462037962038,2.44
high,30,20,456,0.4865,0.26130000000000003,0.8678988197260258,2.44
low,30,20,456,0.9796666666666666,0.7109,0.2689150738150738,2.44
oracle,30,20,789,1.10205,0.7577999999999999,nan,2.408
optimal,30,20,789,0.9733833333333333,0.70285,0.17882542049453815,2.408
rand_u01,30,20,789,0.3962333333333333,0.17595,0.9198395782322254,2.408
rand_u2N,30,20,789,0.9753833333333334,0.71005,0.21096132894882896,2.408
high,30,20,789,0.4984333333333333,0.26894999999999997,0.8688768758202583,2.408
low,30,20,789,0.9742666666666666,0.70335,0.27673070263070265,2.408
oracle,30,20,1234,1.0912333333333333,0.76055,nan,2.442
optimal,30,20,1234,0.9580333333333333,0.7109,0.17561412762074524,2.442
rand_u01,30,20,1234,0.38748333333333335,0.17989999999999998,0.9196830410602471,2.442
rand_u2N,30,20,1234,0.9729000000000001,0.70775,0.2139904428904429,2.442
high,30,20,1234,0.4881833333333333,0.26985000000000003,0.8696577116510942,2.442
low,30,20,1234,0.9597,0.7112,0.2684873057498057,2.442
oracle,30,50,42,1.0294833333333333,0.7972,nan,5.66
optimal,30,50,42,0.9758976190476191,0.7693399999999999,0.24228308277851646,5.66
rand_u01,30,50,42,0.278872619047619,0.19742,0.9417482722719757,5.66
rand_u2N,30,50,42,0.960597619047619,0.7589600000000001,0.2836976941334237,5.66
high,30,50,42,0.6704202380952381,0.51096,0.7495091071231361,5.66
low,30,50,42,0.967922619047619,0.7597200000000001,0.17460264726258726,5.66
oracle,30,50,123,1.0401619047619046,0.79726,nan,5.638
optimal,30,50,123,0.973525,0.77038,0.2459427969633779,5.638
rand_u01,30,50,123,0.2813130952380952,0.19852000000000003,0.9440677145085965,5.638
rand_u2N,30,50,123,0.9695285714285715,0.7617200000000001,0.2847429779032158,5.638
high,30,50,123,0.6813880952380953,0.5120600000000001,0.7481653680704745,5.638
low,30,50,123,0.9677892857142856,0.76346,0.17150032948292135,5.638
oracle,30,50,456,1.020525396825397,0.79528,nan,5.783
optimal,30,50,456,0.9605698412698412,0.7736000000000001,0.2407556701843746,5.783
rand_u01,30,50,456,0.27505992063492063,0.19648000000000002,0.9432279953336208,5.783
rand_u2N,30,50,456,0.9557281746031745,0.76184,0.2792408666328514,5.783
high,30,50,456,0.6590539682539681,0.5058400000000001,0.7511301361023206,5.783
