access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,1680,50,5,0.034,5.0,0.009241,0.02581,0.78188,0.89436,0.77491,0.74807,0.77618,0.74056
rts,1680,50,5,0.07,3.0,0.01308,0.0196,0.77342,0.97493,0.76012,0.82639,0.76255,0.82066
rts,1680,50,5,0.145,5.0,0.009278,0.02716,0.77744,0.87651,0.77479,0.74901,0.77607,0.74152
rts,1680,50,10,0.017,1.0,0.022192,0.00689,0.73749,1.15034,0.66973,0.86536,0.67613,0.8611
rts,1680,50,10,0.017,3.0,0.012277,0.0135,0.77325,1.0293,0.72911,0.70337,0.73173,0.69578
rts,1680,50,10,0.034,2.0,0.015834,0.01044,0.76293,1.08823,0.70986,0.77645,0.71372,0.77012
rts,1680,50,10,0.034,5.0,0.00735,0.02108,0.77356,0.83396,0.75103,0.54914,0.7522,0.54018
rts,1680,50,10,0.07,3.0,0.012144,0.0147,0.76877,1.00462,0.72978,0.70016,0.73236,0.69253
rts,1680,50,10,0.145,5.0,0.007754,0.02066,0.77054,0.82679,0.74948,0.56522,0.75076,0.55632
rts,1680,50,20,0.017,1.0,0.021583,0.0055,0.73691,1.30463,0.58298,0.77964,0.59016,0.77429
rts,1680,50,20,0.017,3.0,0.010383,0.01092,0.76918,1.08691,0.66276,0.52377,0.66551,0.51606
rts,1680,50,20,0.034,2.0,0.014505,0.00793,0.76216,1.2144,0.63556,0.63853,0.63982,0.63137
rts,1680,50,20,0.034,5.0,0.004763,0.01667,0.76253,0.69725,0.69485,0.29992,0.69589,0.29348
rts,1680,50,20,0.07,3.0,0.010531,0.01061,0.76644,1.08478,0.66184,0.52845,0.66464,0.52075
rts,1680,50,20,0.145,5.0,0.004313,0.01779,0.75645,0.61401,0.69713,0.2771,0.69805,0.27096
basic,210,5,5,0.017,1.0,0.171936,0.03663,0.57206,1.56473,0.49565,1.65106,0.60719,1.9056
basic,210,5,5,0.017,3.0,0.11996,0.03844,0.65373,1.46027,0.58539,1.51295,0.66557,1.69089
