method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_fixed_low,homo,10,50,1234,1000,4.655,4.327,1.2257726190476186,27.93,0.5586000000000091,9.121,0.10564351165566964,0.0743133421673825,3.224826417172139
ema_fixed_high,homo,10,50,1234,1000,4.649,4.327,1.228333333333334,27.894,0.5578800000000087,7.571,0.13566919687639545,0.06603083206288961,3.926869477130198
ema_adaptive,homo,10,50,1234,1000,4.682,4.327,1.2339976190476194,28.092,0.561840000000009,9.234,0.10172908406168148,0.07460597239392679,3.128545051779896
ema_ad_low,homo,10,50,1234,1000,4.796,4.327,1.268838095238095,28.776,0.5755200000000096,5.958,0.1672083271089077,0.05270644781542255,1.639075690266905
ema_ad_med,homo,10,50,1234,1000,4.745,4.327,1.2445916666666663,28.47,0.5694000000000097,7.159,0.13854581190634543,0.061846728904905196,2.263567054624867
ema_no_coll,homo,10,50,1234,1000,4.535,4.327,1.1956214285714284,27.21,0.544200000000008,5.122,0.21282922396231235,0.04366002709678625,1.3892310091868916
consec_L2,homo,10,50,1234,1000,4.537,4.327,1.190421428571429,27.222,0.5444400000000089,7.827,0.135957189443684,0.06704438633869111,2.1528329149737444
consec_L4,homo,10,50,1234,1000,4.588,4.327,1.201160714285715,27.528,0.5505600000000088,9.581,0.0995107173320173,0.0770298399961765,0.9528672779707547
dcf_self_excl,homo,10,50,1234,1000,3.663,4.327,0.9615369047619041,21.978,0.43956000000000667,8.142,0.1955933891959433,0.0,0.0
pnd,homo,10,50,1234,1000,4.225,4.327,1.1004535714285704,25.35,0.5070000000000082,4.015,0.26028555611055737,0.0,0.0
pnd_cd,homo,10,50,1234,1000,4.248,4.327,1.1228190476190465,25.488,0.5097600000000081,4.281,0.24611252636252715,0.0,0.0
and,homo,10,50,1234,1000,0.857,4.327,0.22488214285714242,5.142,0.10284000000000025,0.254,0.8687398989899014,0.0,0.0
oracle,homo,10,100,42,1000,8.868,8.777,1.0639571428571415,53.208,0.5320800000000083,6.693,0.24622150982229785,0.0,0.0
mfg_no_excl,homo,10,100,42,1000,8.796,8.777,1.0555353174603164,52.776,0.5277600000000084,6.695,0.25109550597359137,0.0,0.0
self_excl_only,homo,10,100,42,1000,8.776,8.777,1.0541587301587292,52.656,0.5265600000000085,6.817,0.2503380143369517,0.0,0.0
ema_fixed_low,homo,10,100,42,1000,9.287,8.777,1.113986904761902,55.722,0.5572200000000086,22.363,0.0685688687763789,0.17418719835869304,2.792035873903496
ema_fixed_high,homo,10,100,42,1000,9.198,8.777,1.1042460317460305,55.188,0.5518800000000084,18.252,0.0952489496278779,0.15352136994880897,3.044450842386172
ema_adaptive,homo,10,100,42,1000,9.277,8.777,1.1123781746031716,55.662,0.5566200000000084,22.447,0.06956579152979783,0.1725019490878821,2.8001938928638967
ema_ad_low,homo,10,100,42,1000,9.221,8.777,1.1062503968253938,55.326,0.5532600000000085,17.712,0.10254985365607862,0.17026945004101898,1.9449310757149996
ema_ad_med,homo,10,100,42,1000,9.305,8.777,1.1177150793650765,55.83,0.5583000000000083,19.9,0.0852785079868622,0.1760938848199287,2.2865373368753454
ema_no_coll,homo,10,100,42,1000,9.258,8.777,1.1085305555555522,55.548,0.5554800000000086,15.921,0.1191740699801139,0.17184324384625,1.5256814218158516
consec_L2,homo,10,100,42,1000,9.185,8.777,1.103359523809522,55.11,0.5511000000000088,18.242,0.0915711598087908,0.15604722402393043,1.7346892959136946
consec_L4,homo,10,100,42,1000,9.068,8.777,1.0861313492063478,54.408,0.544080000000008,24.654,0.06072154372046253,0.17593334414562076,0.9802134756807105
dcf_self_excl,homo,10,100,42,1000,8.102,8.777,0.9719313492063467,48.612,0.48612000000000727,23.735,0.10898563035613601,0.0,0.0
pnd,homo,10,100,42,1000,8.79,8.777,1.0528396825396813,52.74,0.5274000000000086,9.257,0.21027549540010546,0.0,0.0
pnd_cd,homo,10,100,42,1000,8.832,8.777,1.055544047619045,52.992,0.5299200000000084,10.571,0.1882209556263385,0.0,0.0
and,homo,10,100,42,1000,3.408,8.777,0.41155634920634954,20.448,0.20448000000000216,1.324,0.7339867638347206,0.0,0.0
oracle,homo,10,100,123,1000,8.818,8.794,1.0473944444444432,52.908,0.5290800000000082,6.739,0.25049573684080856,0.0,0.0
mfg_no_excl,homo,10,100,123,1000,8.904,8.794,1.0565444444444434,53.424,0.5342400000000082,6.572,0.24779072490832202,0.0,0.0
self_excl_only,homo,10,100,123,1000,8.74,8.794,1.0388765873015864,52.44,0.5244000000000083,6.547,0.25967880413763844,0.0,0.0
ema_fixed_low,homo,10,100,123,1000,9.27,8.794,1.0984361111111096,55.62,0.5562000000000079,22.344,0.07008837945451583,0.17063614928800286,2.849965123875725
ema_fixed_high,homo,10,100,123,1000,9.342,8.794,1.109924206349204,56.052,0.5605200000000086,17.822,0.089237689739255,0.16026157931419205,2.8906093800353725
