obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
300,280,10,4,42,643,0.032,330
300,280,10,4,123,640,0.04780876494023904,330
300,280,10,4,456,656,0.06130268199233716,330
300,280,10,5,42,602,0.012903225806451613,330
300,280,10,5,123,621,0.011695906432748537,320
300,280,10,5,456,559,0.0125,330
300,280,20,0,42,761,0.7119393556538218,680
300,280,20,0,123,746,0.7335701598579041,680
300,280,20,0,456,770,0.7115384615384616,760
300,280,20,1,42,774,0.5535889872173058,680
300,280,20,1,123,760,0.5458515283842795,620
300,280,20,1,456,758,0.543940795559667,740
300,280,20,2,42,738,0.3502824858757062,720
300,280,20,2,123,703,0.33225283630470015,660
300,280,20,2,456,720,0.3394736842105263,780
300,280,20,3,42,705,0.18541666666666667,700
300,280,20,3,123,710,0.1891891891891892,620
300,280,20,3,456,691,0.17165668662674652,720
300,280,20,4,42,668,0.0947075208913649,680
300,280,20,4,123,664,0.11570247933884298,680
300,280,20,4,456,651,0.07202216066481995,720
300,280,20,5,42,624,0.032520325203252036,680
300,280,20,5,123,624,0.06779661016949153,620
300,280,20,5,456,615,0.045283018867924525,740
300,280,30,0,42,696,0.8273142382731424,960
300,280,30,0,123,708,0.8285821455363841,1080
300,280,30,0,456,729,0.8289569657184537,1080
300,280,30,1,42,712,0.703326544467074,990
300,280,30,1,123,726,0.69375,1110
300,280,30,1,456,729,0.7017913593256059,1290
300,280,30,2,42,714,0.4223057644110276,1050
300,280,30,2,123,739,0.39917127071823205,1019
300,280,30,2,456,718,0.442371020856202,1170
300,280,30,3,42,722,0.22519083969465647,1020
300,280,30,3,123,707,0.24172185430463577,1110
300,280,30,3,456,698,0.23754152823920266,1110
300,280,30,4,42,675,0.09421841541755889,1200
300,280,30,4,123,702,0.14146341463414633,990
300,280,30,4,456,676,0.12030075187969924,990
300,280,30,5,42,653,0.07718120805369127,1050
300,280,30,5,123,619,0.09090909090909091,1020
300,280,30,5,456,652,0.06060606060606061,1170
300,280,50,0,42,688,0.9148890784982935,1600
300,280,50,0,123,694,0.9171292624900872,1700
300,280,50,0,456,715,0.9169210991483208,2100
300,280,50,1,42,723,0.8417173982697853,1950
300,280,50,1,123,703,0.8401201602136181,1850
300,280,50,1,456,696,0.8441388343156516,1850
300,280,50,2,42,734,0.6086594504579517,1750
300,280,50,2,123,718,0.5862068965517241,1650
300,280,50,2,456,698,0.6,1850
300,280,50,3,42,702,0.35964912280701755,1700
300,280,50,3,123,727,0.40425531914893614,1850
300,280,50,3,456,692,0.38303693570451436,1800
300,280,50,4,42,703,0.19805825242718447,1750
300,280,50,4,123,706,0.17901234567901234,1700
300,280,50,4,456,692,0.19517102615694165,1700
300,280,50,5,42,648,0.09068627450980392,1900
300,280,50,5,123,678,0.09016393442622951,1650
300,280,50,5,456,635,0.140625,1700
500,480,5,0,42,764,0.25636363636363635,100
500,480,5,0,123,747,0.23801652892561984,110
500,480,5,0,456,762,0.27046783625730997,120
500,480,5,1,42,725,0.18265682656826568,120
500,480,5,1,123,733,0.16279069767441862,115
500,480,5,1,456,764,0.14790996784565916,135
500,480,5,2,42,663,0.05513784461152882,115
500,480,5,2,123,691,0.09329446064139942,95
500,480,5,2,456,700,0.09879518072289156,115
500,480,5,3,42,641,0.04067796610169491,110
500,480,5,3,123,647,0.046052631578947366,110
500,480,5,3,456,617,0.06191950464396285,120
500,480,5,4,42,557,0.01098901098901099,115
500,480,5,4,123,508,0.009569377990430622,120
500,480,5,4,456,571,0.025423728813559324,130
500,480,5,5,42,571,0.0,95
